title,Month,year,Budget($M),length,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,label
Titanic,Dec,1997,200.0,194,6.9,90195,PG-13,0,0,0,1,0,1,0,1
The Lord of the Rings: The Return of the King,Dec,2003,94.0,251,9.0,103631,PG-13,1,0,0,0,0,0,0,1
Jurassic Park,Jun,1993,63.0,127,7.4,57473,,1,0,0,0,0,0,0,1
The Lion King,Jun,1994,79.3,89,7.8,32924,,0,1,1,0,0,0,0,1
Shrek 2,May,2004,70.0,92,7.8,27236,PG,0,1,1,0,0,0,0,1
Finding Nemo,May,2003,94.0,100,8.3,41846,,0,1,1,1,0,0,0,1
The Lord of the Rings: The Two Towers,Dec,2002,94.0,223,8.8,114797,PG-13,1,0,0,0,0,0,0,1
The Lord of the Rings: The Fellowship of the Ring,Dec,2001,109.0,208,8.8,157608,PG-13,1,0,0,0,0,0,0,1
Harry Potter and the Chamber of Secrets,Nov,2002,100.0,152,7.3,38394,PG,0,0,0,0,0,0,0,1
Spider-Man,May,2002,139.0,121,7.4,63228,PG-13,1,0,0,0,0,0,0,1
Independence Day,Jul,1996,75.0,153,6.1,61831,PG-13,1,0,0,0,0,0,0,1
Harry Potter and the Prisoner of Azkaban,Jun,2004,130.0,141,7.8,24973,PG,0,0,0,0,0,0,0,1
Spider-Man 2,Jun,2004,200.0,127,7.9,40256,PG-13,1,0,0,0,0,0,0,1
Star Wars Ep. IV: A New Hope,May,1977,11.0,125,8.8,134640,PG,1,0,0,0,0,0,0,1
The Matrix Reloaded,May,2003,150.0,138,7.1,57225,R,1,0,0,0,0,0,0,1
Forrest Gump,Jul,1994,55.0,142,8.2,89722,PG-13,0,0,1,1,0,0,0,1
Forrest Gump,Jul,1994,55.0,142,8.2,89722,PG-13,0,0,1,1,0,0,0,1
The Sixth Sense,Aug,1999,40.0,107,8.2,96987,PG-13,0,0,0,1,0,0,0,1
Star Wars Ep. II: Attack of the Clones,May,2002,115.0,120,7.0,63889,PG,1,0,0,0,0,0,0,1
Pirates of the Caribbean: The Curse of the Black Pearl,Jul,2003,140.0,143,8.0,60812,PG-13,1,0,1,0,0,0,0,1
The Passion of the Christ,Feb,2004,25.0,127,7.4,34046,R,0,0,0,1,0,0,0,1
The Lost World: Jurassic Park,May,1997,75.0,129,5.5,28055,PG-13,1,0,0,0,0,0,0,1
The Incredibles,Nov,2004,92.0,121,8.3,30749,PG,1,1,1,0,0,0,0,1
Men in Black,Jul,1997,90.0,98,6.8,53231,PG-13,1,0,1,0,0,0,0,1
Star Wars Ep. VI: Return of the Jedi,May,1983,32.5,135,8.1,82471,PG,1,0,0,0,0,0,0,1
"Monsters, Inc.",Nov,2001,115.0,92,8.0,38712,,0,1,1,0,0,0,0,1
The Day After Tomorrow,May,2004,125.0,124,6.3,23749,PG-13,1,0,0,1,0,0,0,1
Armageddon,Jul,1998,140.0,153,5.7,45330,PG-13,1,0,0,0,0,0,0,1
Star Wars Ep. V: The Empire Strikes Back,May,1980,23.0,129,8.8,103706,PG,1,0,0,0,0,0,0,1
Ghost,Jul,1990,22.0,128,6.8,19005,,0,0,0,1,0,1,0,1
Meet the Fockers,Dec,2004,60.0,115,6.5,11950,PG-13,0,0,1,0,0,0,0,1
Terminator 2: Judgment Day,Jul,1991,100.0,154,8.2,77614,R,1,0,0,1,0,0,0,1
Toy Story 2,Nov,1999,90.0,92,8.1,40941,,0,1,1,0,0,0,0,1
Aladdin,Nov,1992,28.0,90,7.6,22499,,0,1,1,0,0,0,0,1
Twister,May,1996,88.0,113,5.9,28315,PG-13,1,0,0,1,0,0,0,1
Saving Private Ryan,Jul,1998,65.0,170,8.3,100267,R,1,0,0,1,0,0,0,1
Bruce Almighty,May,2003,81.0,101,6.4,23905,PG-13,0,0,1,0,0,1,0,1
Troy,May,2004,150.0,162,7.1,33979,R,1,0,0,1,0,1,0,0
Home Alone,Nov,1990,15.0,103,6.4,21670,,0,0,1,0,0,0,0,1
Indiana Jones and the Last Crusade,May,1989,48.0,127,8.1,61583,,1,0,0,0,0,0,0,1
